work_id,mp_name,district,block,village,category,description,sanctioned_cost_lakh,sanction_year,status,is_seeded_duplicate,duplicate_of
MPLAD-2022-100598,MP_04,Hooghly,Hanskhali,Fatepur,Electrification,"Installation of 8 solar street lights at Fatepur, Hanskhali under MPLADS, Ward No. 5, Hanskhali block, Hooghly district",32.98,2022,Completed,False,
MPLAD-2022-100346,MP_03,Malda,Karimpur-II,Nokari,Community,"Construction of community hall with toilet block at Nokari under MPLADS, Ward No. 4, Karimpur-II block, Malda district",31.6,2022,Ongoing,False,
MPLAD-2022-100745,MP_05,Bankura,Chakdaha,Panchberia,Sanitation,"Construction of 3 community sanitary complex at Panchberia under MPLADS, Ward No. 15, Chakdaha block, Bankura district",5.95,2022,Completed,False,
MPLAD-2019-101029,MP_02,Howrah,Karimpur-II,Aistala,Sanitation,"Construction of 5 community sanitary complex at Aistala under MPLADS, Ward No. 24, Karimpur-II block, Howrah district",9.05,2019,Ongoing,False,
MPLAD-2022-101158,MP_12,Bardhaman,Hanskhali,Debagram,Community,"Construction of community hall with toilet block at Debagram under MPLADS, Ward No. 5, Hanskhali block, Bardhaman district",12.82,2022,Sanctioned,False,
MPLAD-2025-100986,MP_30,Birbhum,Karimpur-II,Dhantala,Electrification,"Providing LED high mast lighting at Dhantala market area under MPLADS, Ward No. 2, Karimpur-II block, Birbhum district",36.67,2025,Sanctioned,False,
MPLAD-2021-100478,MP_02,Malda,Haringhata,Jaguli,Community,"Renovation of crematorium boundary wall at Jaguli under MPLADS, Ward No. 22, Haringhata block, Malda district",6.55,2021,Completed,False,
MPLAD-2024-100628,MP_32,Hooghly,Krishnanagar-II,Kalinagar,Electrification,"Installation of 7 solar street lights at Kalinagar, Krishnanagar-II under MPLADS, Ward No. 9, Krishnanagar-II block, Hooghly district",33.98,2024,Completed,False,
MPLAD-2020-100890,MP_14,Howrah,Hanskhali,Barasat,Health,"Construction of waiting shed at Barasat Sub-Centre under MPLADS, Ward No. 24, Hanskhali block, Howrah district",4.77,2020,Completed,False,
MPLAD-2025-100076,MP_21,Murshidabad,Hanskhali,Aistala,Community,"Construction of community hall with toilet block at Aistala under MPLADS, Ward No. 9, Hanskhali block, Murshidabad district",8.62,2025,Completed,False,
MPLAD-2020-100736,MP_13,Bankura,Tehatta-I,Rautari,Irrigation,"Re-excavation of village pond for irrigation at Rautari under MPLADS, Ward No. 3, Tehatta-I block, Bankura district",27.14,2020,Completed,False,
MPLAD-2023-101131,MP_16,Nadia,Karimpur-II,Muragachha,Sanitation,"Construction of 5 community sanitary complex at Muragachha under MPLADS, Ward No. 8, Karimpur-II block, Nadia district",36.89,2023,Completed,False,
MPLAD-2022-100724,MP_18,Bardhaman,Chakdaha,Barasat,Education,"Supply of benches and desks to Barasat High School under MPLADS under MPLADS, Ward No. 10, Chakdaha block, Bardhaman district",23.5,2022,Sanctioned,False,
MPLAD-2019-100462,MP_14,Hooghly,Ranaghat-I,Nokari,Health,"Supply of ambulance to Ranaghat-I Rural Hospital under MPLADS under MPLADS, Ward No. 11, Ranaghat-I block, Hooghly district",15.51,2019,Sanctioned,False,
MPLAD-2024-100964,MP_31,Bankura,Haringhata,Subarnapur,Community,"Construction of community hall with toilet block at Subarnapur under MPLADS, Ward No. 5, Haringhata block, Bankura district",41.08,2024,Completed,False,
MPLAD-2021-100044,MP_10,Bardhaman,Ranaghat-I,Fatepur,Water,"Construction of overhead water reservoir of 2000 litre capacity at Fatepur under MPLADS, Ward No. 11, Ranaghat-I block, Bardhaman district",17.49,2021,Completed,False,
MPLAD-2021-100065,MP_25,Hooghly,Santipur,Bhatjangla,Community,"Construction of community hall with toilet block at Bhatjangla under MPLADS, Ward No. 15, Santipur block, Hooghly district",26.4,2021,Completed,False,
MPLAD-2022-100731,MP_12,Malda,Hanskhali,Bahirgachi,Community,"Renovation of crematorium boundary wall at Bahirgachi under MPLADS, Ward No. 10, Hanskhali block, Malda district",20.28,2022,Completed,False,
MPLAD-2020-100673,MP_08,Bardhaman,Chakdaha,Aistala,Health,"Construction of waiting shed at Aistala Sub-Centre under MPLADS, Ward No. 11, Chakdaha block, Bardhaman district",16.5,2020,Completed,False,
MPLAD-2025-100363,MP_15,Bankura,Nakashipara,Panchberia,Road,"Construction of 562 m concrete road from Barasat to Muragachha at Panchberia under MPLADS, Ward No. 20, Nakashipara block, Bankura district",43.69,2025,Completed,False,
MPLAD-2024-100425,MP_35,Jalpaiguri,Haringhata,Aistala,Health,"Construction of waiting shed at Aistala Sub-Centre under MPLADS, Ward No. 17, Haringhata block, Jalpaiguri district",28.19,2024,Completed,False,
MPLAD-2023-100977,MP_14,Jalpaiguri,Kaliganj,Subarnapur,Sports,"Development of playground with boundary fencing at Subarnapur under MPLADS, Ward No. 13, Kaliganj block, Jalpaiguri district",27.65,2023,Completed,False,
MPLAD-2019-101050,MP_20,Nadia,Tehatta-I,Fatepur,Road,"Improvement and metalling of village approach road at Fatepur, Tehatta-I under MPLADS, Ward No. 14, Tehatta-I block, Nadia district",18.22,2019,Ongoing,False,
MPLAD-2022-100101,MP_27,Malda,Tehatta-I,Mamjoan,Sanitation,"Construction of 8 community sanitary complex at Mamjoan under MPLADS, Ward No. 21, Tehatta-I block, Malda district",36.94,2022,Sanctioned,False,
MPLAD-2022-100479,MP_19,Murshidabad,Chakdaha,Barasat,Road,"Construction of 737 m concrete road from Jaguli to Bhatjangla at Barasat under MPLADS, Ward No. 8, Chakdaha block, Murshidabad district",30.99,2022,Ongoing,False,
MPLAD-2025-100265,MP_11,Howrah,Karimpur-II,Rautari,Education,"Supply of benches and desks to Rautari High School under MPLADS under MPLADS, Ward No. 18, Karimpur-II block, Howrah district",26.84,2025,Sanctioned,False,
MPLAD-DUP-200009,MP_35,Bardhaman,Nakashipara,Bahirgachi,Education,"Construction of extra class rooms at Bahirgachi Primary School under MPLADS, Ward No. 12, Nakashipara block, Bardhaman district",14.23,2023,Completed,True,MPLAD-2022-100528
MPLAD-2020-100218,MP_13,Murshidabad,Kaliganj,Barasat,Community,"Construction of community hall with toilet block at Barasat under MPLADS, Ward No. 20, Kaliganj block, Murshidabad district",7.04,2020,Completed,False,
MPLAD-2024-100845,MP_12,Purulia,Tehatta-I,Kalinagar,Sanitation,"Construction of 7 community sanitary complex at Kalinagar under MPLADS, Ward No. 22, Tehatta-I block, Purulia district",21.76,2024,Completed,False,
MPLAD-2025-100342,MP_05,Purulia,Haringhata,Bhatjangla,Education,"Construction of additional classroom block at Bhatjangla Primary School under MPLADS, Ward No. 24, Haringhata block, Purulia district",25.65,2025,Completed,False,
MPLAD-DUP-200056,MP_33,Howrah,Hanskhali,Subarnapur,Education,"Building of extra class rooms at Subarnapur Primary School under MPLADS, Ward No. 16, Hanskhali block, Howrah district",47.99,2024,Completed,True,MPLAD-2023-100816
MPLAD-2022-100381,MP_18,Nadia,Kaliganj,Jaguli,Electrification,"Installation of 3 solar street lights at Jaguli, Kaliganj under MPLADS, Ward No. 10, Kaliganj block, Nadia district",18.84,2022,Completed,False,
MPLAD-2022-100780,MP_03,Birbhum,Tehatta-I,Nokari,Electrification,"Installation of 7 solar street lights at Nokari, Tehatta-I under MPLADS, Ward No. 1, Tehatta-I block, Birbhum district",36.72,2022,Ongoing,False,
MPLAD-2022-100843,MP_35,Nadia,Kaliganj,Fatepur,Sanitation,"Construction of 7 community sanitary complex at Fatepur under MPLADS, Ward No. 19, Kaliganj block, Nadia district",29.14,2022,Ongoing,False,
MPLAD-2019-100609,MP_32,Jalpaiguri,Hanskhali,Subarnapur,Health,"Supply of ambulance to Hanskhali Rural Hospital under MPLADS under MPLADS, Ward No. 17, Hanskhali block, Jalpaiguri district",36.0,2019,Ongoing,False,
MPLAD-2019-100063,MP_28,Hooghly,Karimpur-II,Kalinagar,Health,"Construction of waiting shed at Kalinagar Sub-Centre under MPLADS, Ward No. 2, Karimpur-II block, Hooghly district",44.14,2019,Completed,False,
MPLAD-2025-100944,MP_20,Hooghly,Santipur,Bahirgachi,Sanitation,"Construction of 4 community sanitary complex at Bahirgachi under MPLADS, Ward No. 12, Santipur block, Hooghly district",6.36,2025,Sanctioned,False,
MPLAD-2025-100755,MP_24,Hooghly,Haringhata,Kalinagar,Community,"Construction of community hall with toilet block at Kalinagar under MPLADS, Ward No. 15, Haringhata block, Hooghly district",15.95,2025,Completed,False,
MPLAD-2025-100447,MP_02,Howrah,Haringhata,Mamjoan,Electrification,"Providing LED high mast lighting at Mamjoan market area under MPLADS, Ward No. 6, Haringhata block, Howrah district",32.88,2025,Ongoing,False,
MPLAD-2022-100514,MP_20,Howrah,Chakdaha,Mamjoan,Education,"Construction of additional classroom block at Mamjoan Primary School under MPLADS, Ward No. 17, Chakdaha block, Howrah district",11.07,2022,Sanctioned,False,
MPLAD-2020-100078,MP_19,Murshidabad,Santipur,Nokari,Community,"Renovation of crematorium boundary wall at Nokari under MPLADS, Ward No. 21, Santipur block, Murshidabad district",8.05,2020,Completed,False,
MPLAD-2020-100904,MP_20,Bankura,Ranaghat-I,Rautari,Water,"Construction of overhead water reservoir of 1000 litre capacity at Rautari under MPLADS, Ward No. 11, Ranaghat-I block, Bankura district",21.92,2020,Ongoing,False,
MPLAD-2020-100309,MP_17,Bankura,Ranaghat-I,Muragachha,Community,"Renovation of crematorium boundary wall at Muragachha under MPLADS, Ward No. 5, Ranaghat-I block, Bankura district",15.76,2020,Completed,False,
